,Unnamed: 0,smiles,eib,bandgap_chain,bandgap_crystal
2,2,[*]CC([*])CC,,6.6228,7.9012
3,3,[*]CC([*])CCC,,6.738,7.2705
28,28,[*]CC1CCC([*])C1,3.974097453,6.8566,7.9703
42,42,[*]CC([*])CCCC1CCCCC1,,6.5685,7.5725
68,68,[*]C1CCC1[*],4.005295875,6.0558,6.5419
73,73,[*]CC1([*])CCCCC1,4.282312362,6.2872,7.3387
159,159,[*]CC([*])c1ccc(C(=O)OCC(C)C)cc1,3.713275921,4.6433,4.8032
233,233,[*]CC([*])O,3.656959574,6.4144,7.5488
241,241,[*]CC([*])C#N,2.895271077,7.7739,7.4435
242,242,[*]CC([*])(C)C#N,3.789825812,7.6507,7.1863
251,251,[*]CC([*])OC(C)=O,,6.7973,5.9373
269,269,[*]CC([*])OC(=O)C(F)(F)F,3.669538501,6.7735,6.258
273,273,[*]CC([*])CCc1ccc(C)cc1,,4.9769,4.5772
288,288,[*]C(C)C([*])O,,6.1475,7.9156
290,290,[*]CC([*])C(=O)C(C)(C)C,3.590445034,5.3161,5.2414
304,304,[*]C(F)C([*])(F)OC(F)(F)F,3.262811786,8.2674,7.802
315,315,[*]CC([*])C(=O)c1ccc(CC)cc1,3.1862465,4.2696,3.9853
336,336,[*]CC([*])OC(=O)C(F)(F)C(F)(F)C(F)(F)F,2.785217851,6.4637,6.0228
402,402,[*]CC([*])OC(=O)CC1CCCC1,,6.5439,6.4741
403,403,[*]CC([*])N1CCCC1=O,4.117333515,5.5533,5.5902
405,405,[*]CC([*])C(=O)O,3.529905669,6.7294,6.1071
407,407,[*]CC([*])C(=O)OCC,,6.214,6.7935
409,409,[*]CC([*])C(=O)OC(C)C,,6.4617,6.455
424,424,[*]CC([*])C(=O)OCC(F)(F)F,,6.6246,6.7224
432,432,[*]CC([*])C(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,4.126137361,6.2702,6.4578
434,434,[*]CC([*])C(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,3.829325647,6.2707,5.7185
450,450,[*]CC([*])(C)C(=O)OCC,,6.4221,6.2424
