Unnamed: 0,smiles,eib,bandgap_chain,bandgap_crystal
0,[*]C[*],3.782229467,6.8063,
28,[*]CC1CCC([*])C1,3.974097453,6.8566,7.9703
45,[*]C=CCCC[*],4.023885087,4.5769,
48,[*]C=C[*],1.202427045,1.4732,
68,[*]C1CCC1[*],4.005295875,6.0558,6.5419
70,[*]C=CC1CCC([*])C1,4.219920012,5.1969,
73,[*]CC1([*])CCCCC1,4.282312362,6.2872,7.3387
105,[*]CC([*])c1ccccc1Cl,3.342465595,2.5286,
130,[*]CC([*])c1ccc(Br)cc1,4.471135618,2.235,
140,[*]CC([*])c1ccc(C(O)CCN2CCOCC2)cc1,3.818478151,4.4244,
159,[*]CC([*])c1ccc(C(=O)OCC(C)C)cc1,3.713275921,4.6433,4.8032
166,[*]CC([*])c1ccc(C(=O)Cc2ccccc2)cc1,2.675344167,3.5934,
169,[*]CC([*])c1ccc(F)cc1,2.107396678,2.1384,
189,[*]CC([*])c1cc(Cl)ccc1Cl,3.072309709,2.784,
201,[*]CC([*])c1ccc(Cl)c(C)c1,3.974659688,4.8762,
202,[*]CC([*])c1ccc(Cl)c(Cl)c1,2.386012814,2.4525,
209,[*]C(F)(F)C([*])(F)c1ccccc1,3.978679585,5.4751,
220,[*]CC([*])c1cccc(C)n1,3.867285095,4.9415,
221,[*]CC([*])c1ccc(C)nc1,3.470969023,4.7592,
222,[*]CC([*])n1cc2ccccc2n1,3.499907785,3.5251,
231,[*]CC(CC([*])(C#N)C(=O)OC)c1ccccc1,3.891502647,5.5708,
233,[*]CC([*])O,3.656959574,6.4144,7.5488
241,[*]CC([*])C#N,2.895271077,7.7739,7.4435
242,[*]CC([*])(C)C#N,3.789825812,7.6507,7.1863
261,[*]CC([*])OC=O,3.533489237,6.9115,
262,[*]CC([*])OCc1ccccc1,4.196305112,5.0748,
269,[*]CC([*])OC(=O)C(F)(F)F,3.669538501,6.7735,6.258
270,[*]C=CC(C[*])OC,3.898258006,5.1557,
281,[*]C1CC([*])(C#N)C1,3.060404425,6.7759,
290,[*]CC([*])C(=O)C(C)(C)C,3.590445034,5.3161,5.2414
293,[*]CC([*])C(=O)c1ccccc1O,1.636129177,1.6926,
295,[*]C([*])O,3.776381919,6.5244,
299,[*]CC([*])SCC,4.291021061,4.983,
301,[*]C(F)(F)C([*])(F)OC(F)(F)C(F)(F)F,3.432100858,8.4702,
303,[*]C(OC(F)(F)F)C([*])(F)F,4.071488262,8.3525,
304,[*]C(F)C([*])(F)OC(F)(F)F,3.262811786,8.2674,7.802
305,[*]C(F)(F)C([*])(F)OC(F)(F)F,3.352937742,8.0507,
307,[*]CC([*])SC,4.118807515,4.9974,
310,[*]CC([*])(F)C(C)=O,2.839275139,4.5671,
312,[*]CC([*])C(=O)c1ccc(Br)c(OC)c1,2.847673724,3.6104,
313,[*]CC([*])C(=O)c1ccc(C(C)(C)C)cc1,3.109414625,4.1556,
315,[*]CC([*])C(=O)c1ccc(CC)cc1,3.1862465,4.2696,3.9853
322,[*]CC([*])OC(=O)c1ccc(OC(C)=O)cc1,3.314907892,4.5702,
324,[*]CC([*])OC(=O)c1cccc(Br)c1,2.866851933,4.1757,
328,[*]CC([*])OC(=O)c1cccc(Cl)c1,2.643961059,3.3503,
336,[*]CC([*])OC(=O)C(F)(F)C(F)(F)C(F)(F)F,2.785217851,6.4637,6.0228
340,[*]CC([*])OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,3.105726226,5.9661,
342,[*]CC([*])OC(=O)C(F)(F)C(F)(F)F,3.306461218,6.6062,
343,[*]CC([*])OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,2.847059768,6.3179,
349,[*]CC([*])OC(=O)c1ccc(OC)cc1,3.806277763,4.3587,
350,[*]CC([*])OC(=O)c1ccccc1C,3.868663167,4.1103,
358,[*]CC([*])OC(=O)c1cccnc1,2.96132315,4.5419,
366,[*]C=C([*])c1ccccc1,1.210500161,0.0933,
371,[*]CC([*])c1cccs1,3.310409463,1.9401,
381,[*]CC([*])c1nc(C)nc(C)n1,3.314477494,5.2309,
386,[*]CC(OC)C1C(=O)OC(=O)C1[*],2.988960737,5.9831,
395,[*]CC([*])n1ccnc1,3.757683685,4.7081,
401,[*]CC([*])C(=O)c1ccc(Br)cc1,1.92374774,3.2553,
403,[*]CC([*])N1CCCC1=O,4.117333515,5.5533,5.5902
405,[*]CC([*])C(=O)O,3.529905669,6.7294,6.1071
422,[*]CC([*])C(=O)OCC=C,3.597512951,6.0639,
431,[*]CC([*])C(=O)OCC(F)(F)C(F)(F)C(F)(F)F,3.798582239,6.6215,
432,[*]CC([*])C(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,4.126137361,6.2702,6.4578
434,[*]CC([*])C(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,3.829325647,6.2707,5.7185
442,[*]CC([*])C(=O)OCC(F)(F)C(F)(F)OC(F)(F)F,3.694099228,6.3632,
468,[*]CC([*])(C)C(=O)Oc1ccccc1,3.970261242,5.344,4.8118
471,[*]CC([*])(C)C(=O)OCCc1ccccc1,4.309645151,5.6532,4.9946
472,[*]CC([*])(C)C(=O)Oc1ccc2ccccc2c1,3.503628545,3.5795,
475,[*]CC([*])(C)C(=O)OCCBr,3.846658474,5.7827,
479,[*]CC([*])(C)C(=O)OC(C(F)(F)F)C(F)(F)F,2.575495691,6.0249,5.3218
480,[*]CC([*])(C)C(=O)OC(F)(C(F)(F)F)C(F)(F)F,2.920501628,6.1224,6.1125
492,[*]CC([*])(Cl)C(=O)OC,2.917172672,5.6127,
493,[*]CC([*])(Cl)C(=O)OCC,3.420682729,5.9476,
496,[*]CC([*])C(N)=O,4.040519524,6.1879,6.3764
516,[*]CC([*])(C#N)C(=O)OC,3.115882216,6.627,
525,[*]CC([*])C(=O)OCF,3.564052551,6.6724,6.1736
542,[*]CC([*])C(=O)Oc1cccc(C)c1,3.382767006,4.8157,
546,[*]CC([*])C(=O)Oc1ccc(OC)cc1,3.387780652,4.4785,
559,[*]CC([*])C(=O)Oc1ccc(C#N)cc1,2.96279729,4.5584,
582,[*]CC([*])(C)C(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)F,3.88078536,6.2894,
597,[*]CC([*])(F)C(=O)OC,3.800515807,6.7927,
598,[*]CC([*])(CF)C(=O)OC,3.840973709,6.6709,
600,[*]CC([*])(Cl)C(=O)OC(C)C,3.895114423,6.3507,
609,[*]CC([*])C(=O)Oc1ccc(Cl)cc1,3.5111881,2.7059,
663,[*]CC([*])(C#N)C(=O)OCC(C)C,3.408834175,6.6657,
668,[*]C1C(=O)OC(=O)C1[*],2.175723291,6.3511,6.0081
672,[*]CC([*])F,3.929111605,7.7611,
673,[*]CC([*])Cl,3.968815669,7.0461,
674,[*]CC([*])(F)F,3.29896179,7.2321,
675,[*]CC([*])(Cl)Cl,3.066791885,5.2835,
676,[*]C(F)C([*])(F)F,3.230630406,8.2406,
679,[*]CC([*])(F)C(F)(F)F,4.198460615,8.7581,
681,[*]CC([*])C(F)(F)F,3.701134006,8.4665,
683,[*]CC([*])Br,3.280738256,5.7722,
685,[*]CCC(F)(F)C([*])(F)Cl,3.866704043,7.6185,7.4828
686,[*]CCC(F)(F)C([*])(F)F,4.228458951,8.6322,
687,[*]CC([*])(Br)Br,2.335650934,4.9377,4.6615
692,[*]CCCC(Cl)C([*])Cl,3.34360834,6.371,
694,[*]CC(F)(F)C(F)=C([*])Cl,1.945328237,4.7787,
695,[*]C=C(F)C(F)(F)C[*],3.501085289,5.655,
701,[*]C(F)(F)C1(F)C(F)(F)C([*])(F)C(F)(F)C(F)(Cl)C1(F)F,3.202310163,7.1763,
702,[*]C(F)(F)C1(F)C(F)(F)C([*])(F)C1(F)F,2.157108858,6.9783,
704,[*]C(F)(F)C1(F)C(F)(F)C([*])(F)C(F)(F)C1(F)F,2.378878302,7.0615,6.9544
705,[*]C(Cl)=C(Cl)C(Cl)(Cl)C([*])(Cl)Cl,2.359297157,4.2995,3.2001
708,[*]CCC(Cl)C([*])Cl,4.266694523,6.5894,6.4523
709,[*]C=CC(C[*])(C(F)(F)F)C(F)(F)F,3.018947817,5.9378,5.7329
715,[*]C1C=CC([*])CC1,3.847582879,5.5013,5.4843
716,[*]CC([*])=C,3.600661035,5.3561,
721,[*]C=CC(C)C([*])C,3.906205592,5.3085,
726,[*]C=CC=CCC[*],3.071824408,4.3088,
727,[*]C1C=CC([*])C1,3.85359426,5.7471,
728,[*]CO[*],2.936874936,6.6201,7.1211
729,[*]OC([*])C,3.920268255,6.845,
732,[*]OC([*])(C)C,3.969524554,6.2262,
735,[*]OC([*])CCC#N,3.45139683,7.2521,6.9611
738,[*]CCO[*],4.217726222,5.2314,
740,[*]CC(CCl)O[*],3.935764299,6.4132,
741,[*]CC(O[*])C(F)(F)F,3.493668192,6.435,
742,[*]CC(CBr)O[*],3.626811481,6.0732,5.4664
743,[*]CC(CF)O[*],4.092370646,6.1994,
745,[*]CC(C=C)O[*],2.957435316,4.878,
746,[*]CC(COC)O[*],4.110930235,5.6346,
747,[*]CC(C)(C)O[*],4.134587158,5.2787,
748,[*]CC(C)(CCl)O[*],4.155760164,5.8535,
757,[*]CC(O[*])c1ccccc1,4.157482044,5.4524,
763,[*]CC(COc1ccc(Cl)cc1)O[*],4.254733028,4.9216,
764,[*]CC(COc1c(Cl)cc(Cl)cc1Cl)O[*],3.568608013,4.6256,
771,[*]OC(F)(F)C([*])(F)F,4.426752075,9.8351,10.1137
773,[*]CC(C)(C)CO[*],3.915775942,5.9613,
774,[*]CC(CO)(CO)CO[*],3.968743418,5.6943,
778,[*]CC(CBr)(CBr)CO[*],3.702881661,5.6999,
787,[*]Oc1ccc([*])cc1,3.031670604,4.1373,
788,[*]Oc1cccc([*])c1,3.318677272,5.0109,
789,[*]Oc1c(C)cc([*])cc1C,3.512820771,4.5131,
792,[*]Oc1c(OC)cc([*])cc1OC,3.809057338,4.3423,
794,[*]Oc1ccc(Cc2ccc([*])cc2)cc1,2.972654987,4.865,
795,[*]OC1C(C)(C)C([*])C1(C)C,3.763703581,5.3086,
797,[*]CCOCO[*],4.009441672,6.4615,
798,[*]CCCCOCO[*],4.067653987,6.3363,
799,[*]CCCCCOCO[*],4.215900317,6.4901,
800,[*]CCCCCCOCO[*],3.968996859,6.5809,
812,[*]CCSSCCOCO[*],3.453652468,5.0437,
813,[*]CCSSCCO[*],3.628896459,5.3343,
814,[*]CCSSSSCCO[*],2.624490262,4.2061,
816,[*]Oc1ccc(SSCCCCSSc2ccc([*])cc2)cc1,2.67579393,3.9438,
822,[*]C(=O)OCCOC(=O)c1ccc([*])o1,2.372572095,3.2205,
828,[*]CCCCC(=O)OCCOC(=O)c1ccc(O[*])cc1,4.303886909,4.5036,
837,[*]Oc1ccc(C(=O)OCCOC(=O)c2ccc([*])cc2)cc1,3.146400946,3.7261,
891,[*]CC(=O)OC(=O)c1cccc(O[*])c1,2.549130997,4.153,
897,[*]CCOc1ccc(C(=O)OC(=O)c2ccc(O[*])cc2)cc1,2.238747802,4.4379,
899,[*]CCCOc1ccc(C(=O)OC(=O)c2ccc(O[*])cc2)cc1,2.313610668,4.3065,
901,[*]CCCCOc1ccc(C(=O)OC(=O)c2ccc(O[*])cc2)cc1,3.159635341,4.4911,
902,[*]CCCCCOc1ccc(C(=O)OC(=O)c2ccc(O[*])cc2)cc1,2.430957337,4.4701,
903,[*]CCCCCOc1cccc(C(=O)OC(=O)c2cccc(O[*])c2)c1,2.831373455,3.9498,
905,[*]CCCCCCOc1ccc(C(=O)OC(=O)c2ccc(O[*])cc2)cc1,2.739270967,4.4092,
